warehouse_id,shift_id,work_date,labor_hours,labor_cost
1,1,2026-05-28,9.08,170.43
1,2,2026-05-28,9.07,170.04
1,3,2026-05-28,5.3,110.53
2,1,2026-05-28,12.53,311.62
2,2,2026-05-28,12.27,316.41
2,3,2026-05-28,7.94,218.15
3,1,2026-05-28,8.36,152.0
3,2,2026-05-28,9.23,169.46
3,3,2026-05-28,5.31,103.98
1,1,2026-05-29,17.77,414.77
1,2,2026-05-29,14.72,353.27
1,3,2026-05-29,10.14,256.5
2,1,2026-05-29,18.88,545.18
2,2,2026-05-29,20.61,589.97
2,3,2026-05-29,11.72,358.16
3,1,2026-05-29,15.63,346.54
3,2,2026-05-29,16.98,382.2
3,3,2026-05-29,9.16,220.29
1,1,2026-05-30,10.07,262.54
1,2,2026-05-30,11.72,304.54
1,3,2026-05-30,5.65,158.38
2,1,2026-05-30,9.94,286.07
2,2,2026-05-30,10.9,312.87
2,3,2026-05-30,5.54,171.56
3,1,2026-05-30,7.65,171.89
3,2,2026-05-30,8.26,182.37
3,3,2026-05-30,5.33,131.05
1,1,2026-05-31,7.32,170.59
1,2,2026-05-31,8.34,196.64
1,3,2026-05-31,4.39,113.55
2,1,2026-05-31,8.66,244.26
2,2,2026-05-31,8.27,236.1
2,3,2026-05-31,5.08,153.97
3,1,2026-05-31,6.38,141.41
3,2,2026-05-31,7.16,158.41
3,3,2026-05-31,3.99,98.83
1,1,2026-06-01,6.71,125.1
1,2,2026-06-01,7.31,138.59
1,3,2026-06-01,4.66,94.67
2,1,2026-06-01,10.26,263.47
2,2,2026-06-01,10.03,249.95
2,3,2026-06-01,6.89,184.11
3,1,2026-06-01,7.41,131.97
3,2,2026-06-01,6.9,125.69
3,3,2026-06-01,4.41,87.33
1,1,2026-06-02,7.57,142.34
1,2,2026-06-02,6.37,121.55
1,3,2026-06-02,3.93,79.41
2,1,2026-06-02,7.25,164.94
2,2,2026-06-02,8.88,208.17
2,3,2026-06-02,5.14,127.85
3,1,2026-06-02,6.98,126.96
3,2,2026-06-02,6.68,121.17
3,3,2026-06-02,4.36,83.36
1,1,2026-06-03,7.84,149.36
1,2,2026-06-03,8.31,158.51
1,3,2026-06-03,4.5,92.24
2,1,2026-06-03,9.23,208.8
2,2,2026-06-03,9.43,213.98
2,3,2026-06-03,5.52,136.19
3,1,2026-06-03,8.15,148.08
3,2,2026-06-03,7.04,127.24
3,3,2026-06-03,4.67,91.86
1,1,2026-06-04,9.78,185.5
1,2,2026-06-04,9.71,181.45
1,3,2026-06-04,5.04,103.1
2,1,2026-06-04,9.56,222.02
2,2,2026-06-04,9.95,229.81
2,3,2026-06-04,6.65,165.88
3,1,2026-06-04,8.41,152.1
3,2,2026-06-04,8.89,159.4
3,3,2026-06-04,4.56,89.33
1,1,2026-06-05,11.69,222.42
1,2,2026-06-05,11.0,212.21
1,3,2026-06-05,7.1,143.4
2,1,2026-06-05,14.35,330.05
2,2,2026-06-05,14.37,328.65
2,3,2026-06-05,8.09,198.17
3,1,2026-06-05,11.74,212.27
3,2,2026-06-05,10.05,181.64
3,3,2026-06-05,5.61,108.71
1,1,2026-06-06,5.97,112.22
1,2,2026-06-06,6.47,121.97
1,3,2026-06-06,3.36,69.38
2,1,2026-06-06,7.04,162.53
2,2,2026-06-06,6.35,146.99
2,3,2026-06-06,3.91,94.64
3,1,2026-06-06,7.39,147.76
3,2,2026-06-06,6.71,130.49
3,3,2026-06-06,4.03,87.96
1,1,2026-06-07,4.71,88.3
1,2,2026-06-07,4.97,96.29
1,3,2026-06-07,3.17,64.12
2,1,2026-06-07,6.43,148.5
2,2,2026-06-07,6.3,146.79
2,3,2026-06-07,3.87,92.92
3,1,2026-06-07,4.05,72.87
3,2,2026-06-07,4.44,80.52
3,3,2026-06-07,2.78,53.61
1,1,2026-06-08,7.26,138.46
1,2,2026-06-08,8.34,158.91
1,3,2026-06-08,4.39,90.65
2,1,2026-06-08,10.27,254.86
2,2,2026-06-08,11.91,300.03
2,3,2026-06-08,6.53,175.77
3,1,2026-06-08,7.41,135.87
3,2,2026-06-08,6.8,121.2
3,3,2026-06-08,4.46,85.59
1,1,2026-06-09,6.91,130.45
1,2,2026-06-09,7.11,137.14
1,3,2026-06-09,4.1,82.63
2,1,2026-06-09,8.78,205.02
2,2,2026-06-09,8.81,202.06
2,3,2026-06-09,5.28,129.72
3,1,2026-06-09,5.92,105.68
3,2,2026-06-09,6.83,124.43
3,3,2026-06-09,4.21,82.01
1,1,2026-06-10,9.36,178.95
1,2,2026-06-10,8.64,162.3
1,3,2026-06-10,4.97,102.61
2,1,2026-06-10,11.09,251.58
2,2,2026-06-10,9.44,220.62
2,3,2026-06-10,5.07,122.4
3,1,2026-06-10,7.71,139.47
3,2,2026-06-10,8.65,154.19
3,3,2026-06-10,4.92,96.86
1,1,2026-06-11,8.43,161.28
1,2,2026-06-11,9.51,182.32
1,3,2026-06-11,5.59,115.28
2,1,2026-06-11,10.67,247.27
2,2,2026-06-11,11.08,254.36
