machine_id,start_time,end_time,reason
4,2026-05-28 09:15:00,2026-05-28 10:35:00,Belt Jam
1,2026-05-30 09:00:00,2026-05-30 10:35:00,Power Interruption
4,2026-06-01 08:15:00,2026-06-01 10:26:00,Belt Jam
5,2026-06-06 18:30:00,2026-06-06 19:35:00,Sensor Fault
4,2026-06-08 09:30:00,2026-06-08 10:33:00,Power Interruption
1,2026-06-12 18:30:00,2026-06-12 20:57:00,Software Reboot
4,2026-06-12 09:45:00,2026-06-12 12:11:00,Mechanical Failure
3,2026-06-22 13:00:00,2026-06-22 14:52:00,Power Interruption
3,2026-06-29 07:45:00,2026-06-29 08:47:00,Power Interruption
3,2026-07-06 06:00:00,2026-07-06 07:00:00,Sensor Fault
5,2026-07-06 19:30:00,2026-07-06 20:33:00,Power Interruption
3,2026-07-13 09:15:00,2026-07-13 10:48:00,Power Interruption
3,2026-07-16 07:15:00,2026-07-16 08:42:00,Mechanical Failure
6,2026-07-17 06:45:00,2026-07-17 08:37:00,Mechanical Failure
3,2026-07-20 15:00:00,2026-07-20 17:05:00,Belt Jam
6,2026-07-20 14:15:00,2026-07-20 15:14:00,Power Interruption
